Name,Sport,Borough,Contact URL,Source URL,Instagram Handle,Outreach Channel,Sent Date,Response,Status
The Royals Badminton Club,Badminton,Hackney,https://theroyalsbc.co.uk/,https://theroyalsbc.co.uk/,,,,,
Black Arrows Badminton Club,Badminton,Hackney,https://www.blackarrowsbc.com/,https://www.blackarrowsbc.com/,,,,,
Tower Hamlets Badminton Meetup,Badminton,Tower Hamlets,https://www.meetup.com/tower-hamlets-badminton-meetup/,https://www.meetup.com/tower-hamlets-badminton-meetup/,,,,,
Tower Hamlets Badminton Club,Badminton,Tower Hamlets,https://www.towerhamletsbadmintonclub.co.uk/,https://www.towerhamletsbadmintonclub.co.uk/,,,,,
Basketble Kings Cross,Basketball,Camden,https://basketble.com/,https://basketble.com/social-pickup-games/,,,,,
PlayBasketballLondon,Basketball,Hackney,https://playbasketballlondon.com/,https://playbasketballlondon.com/,,,,,
Finsbury Leisure Centre Basketball,Basketball,Islington,https://www.playfinder.com/london/basketball,https://www.playfinder.com/london/basketball,,,,,
The Regal Basketball Court,Basketball,Lambeth,https://www.gomammoth.co.uk/basketball/courts-london/,https://www.gomammoth.co.uk/basketball/courts-london/,,,,,
GO Mammoth Basketball League,Basketball,Lambeth,https://www.gomammoth.co.uk/basketball/london/,https://www.gomammoth.co.uk/basketball/london/,,,,,
Play Basketball London Meetup,Basketball,Tower Hamlets,https://www.meetup.com/play-basketball-in-london-and-athens/,https://www.meetup.com/play-basketball-in-london-and-athens/,,,,,
Stronghold Climbing Centre,Climbing,Hackney,https://www.strongholdclimbing.com/,https://www.strongholdclimbing.com/,,,,,
Climbing District London Fields,Climbing,Hackney,https://climbingdistrict.uk/climbing-gym/london-fields/,https://climbingdistrict.uk/climbing-gym/london-fields/,,,,,
The Castle Climbing Centre,Climbing,Islington,https://www.castle-climbing.co.uk/,https://www.castle-climbing.co.uk/,,,,,
The Arch Climbing Wall,Climbing,Lambeth,https://www.archclimbingwall.com/,https://www.archclimbingwall.com/,,,,,
Mile End Climbing Wall,Climbing,Tower Hamlets,https://www.mileendwall.org.uk/,https://www.mileendwall.org.uk/,,,,,
Hackney Cricket Club,Cricket,Hackney,https://hackneycc.hitscricket.com/,https://hackneycc.hitscricket.com/,,,,,
London Fields Cricket Club,Cricket,Hackney,https://www.londonfields.net/,https://www.londonfields.net/,,,,,
Stoke Newington Cricket Club,Cricket,Hackney,https://www.middlesexccc.com/,https://www.middlesexccc.com/,,,,,
Pacific Cricket Club,Cricket,Islington,https://www.pacificcc.co.uk/,https://www.pacificcc.co.uk/,,,,,
Camden Cyclists,Cycling,Camden,https://camdencyclists.org.uk/,https://camdencyclists.org.uk/,,,,,
Giant Camden Team Liv,Cycling,Camden,https://www.giantcamdenteamliv.com/,https://www.giantcamdenteamliv.com/,,,,,
No Limit Cycling Club,Cycling,Hackney,https://nolimit.bike/,https://nolimit.bike/,,,,,
Lambeth Cyclists,Cycling,Lambeth,https://lambethcyclists.org.uk/,https://lambethcyclists.org.uk/,,,,,
London Clarion Cycling Club,Cycling,Lambeth,https://www.londonclarion.org.uk/,https://www.londonclarion.org.uk/,,,,,
Hackney Marshes Centre,Football,Hackney,https://hackney.gov.uk/hackney-marshes,https://www.11aside.org/venues/255/Hackney-Marshes,,,,,
Hackney Borough Youth FC,Football,Hackney,https://www.hackneyboroughyouth.co.uk/,https://www.hackneyboroughyouth.co.uk/,,,,,
Hackney Wick FC,Football,Hackney,https://www.hackneywickfc.com/,https://www.hackneywickfc.com/,,,,,
Los Campos Youth FC,Football,Hackney,https://www.loscamposfc.com,https://www.loscamposfc.com,,,,,
Millfields Park FC,Football,Hackney,https://millfieldsparkfc.com/,https://millfieldsparkfc.com/,,,,,
FC Urban Haggerston,Football,Hackney,https://www.fcurban.com/,https://www.fcurban.com/,,,,,
PlayFootball Islington,Football,Islington,https://www.playfootball.net/venues/islington-market-road,https://www.playfootball.net/venues/islington-market-road,,,,,
Powerleague Shoreditch,Football,Tower Hamlets,https://www.powerleague.com/padel-shoreditch,https://www.powerleague.com/padel-shoreditch,,,,,
5aside.org Social Leagues,Football,Westminster,https://5aside.org/,https://5aside.org/,,,,,
The Harbour Club Chelsea Padel,Padel,Kensington and Chelsea,https://www.harbourclub.com/,https://www.harbourclub.com/,,,,,
Padel Social Club Earls Court,Padel,Kensington and Chelsea,https://padelsocialclub.com/,https://padelsocialclub.com/,,,,,
Powerleague Shoreditch Padel,Padel,Tower Hamlets,https://www.powerleague.com/padel-shoreditch,https://www.powerleague.com/padel-shoreditch,,,,,
Stratford Padel Club,Padel,Tower Hamlets,https://stratfordpadelclub.com/,https://stratfordpadelclub.com/,,,,,
Park Sports Hyde Park Padel,Padel,Westminster,https://parksports.co.uk/activities/pay-and-play-padel/hyde-park,https://parksports.co.uk/activities/pay-and-play-padel/hyde-park,,,,,
Kings Cross Steelers RFC,Rugby,Camden,https://www.kcrfc.com/,https://www.kcrfc.com/,,,,,
Hampstead Rugby Club,Rugby,Camden,https://www.hampsteadrugbyclub.co.uk/,https://www.hampsteadrugbyclub.co.uk/,,,,,
Hackney RFC,Rugby,Hackney,https://www.hackneyrfc.co.uk/,https://www.hackneyrfc.co.uk/,,,,,
HAC RFC,Rugby,Islington,http://hacrfc.com/the-club,http://hacrfc.com/the-club,,,,,
London Heathside,Running,Camden,https://www.londonheathside.org.uk/,https://www.londonheathside.org.uk/,,,,,
Camden Runners,Running,Camden,https://www.runningclubslondon.co.uk/,https://www.runningclubslondon.co.uk/,,,,,
The Outrunners,Running,Hackney,https://www.theoutrunners.org/,https://www.theoutrunners.org/,,,,,
Hackney Marshes parkrun,Running,Hackney,https://www.parkrun.org.uk/hackneymarshes/,https://www.parkrun.org.uk/hackneymarshes/,,,,,
London City Runners,Running,Islington,https://www.londoncityrunners.com/,https://www.londoncityrunners.com/,,,,,
Highbury Fields parkrun,Running,Islington,https://www.parkrun.org.uk/highburyfields/,https://www.parkrun.org.uk/highburyfields/,,,,,
Puresport Run Club,Running,Tower Hamlets,https://www.puresport.co/,https://www.puresport.co/,,,,,
Oasis Sports Centre,Swimming,Camden,https://www.better.org.uk/leisure-centre/london/camden/oasis-sports-centre,https://www.better.org.uk/leisure-centre/london/camden/oasis-sports-centre,,,,,
